Year,Round Number,Circuit Name,Race Name,Mean Track Temperature,Rainfall Status,Driver Abbr,Team,Driver Number,Sprint Position,Sprint Points,Quali Position,Race Position,Race Points
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,STR,Williams,18,,0,18.0,17,0.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,VAN,McLaren,2,,0,12.0,14,0.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,MAG,Haas F1 Team,20,,0,19.0,13,0.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,HUL,Renault,27,,0,11.0,8,4.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,HAR,Toro Rosso,28,,0,16.0,R,0.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,RIC,Red Bull Racing,3,,0,1.0,1,25.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,OCO,Force India,31,,0,6.0,6,8.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,VER,Red Bull Racing,33,,0,20.0,9,2.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,SIR,Williams,35,,0,13.0,16,0.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,HAM,Mercedes,44,,0,3.0,3,15.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,VET,Ferrari,5,,0,2.0,2,18.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,SAI,Renault,55,,0,8.0,10,1.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,RAI,Ferrari,7,,0,4.0,4,12.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,BOT,Mercedes,77,,0,5.0,5,10.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,GRO,Haas F1 Team,8,,0,15.0,15,0.0
2018,6,Monte Carlo,Monaco Grand Prix,41.32,Rain,ERI,Sauber,9,,0,17.0,11,0.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,GAS,Toro Rosso,10,,0,16.0,11,0.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,PER,Force India,11,,0,10.0,14,0.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,ALO,McLaren,14,,0,14.0,R,0.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,LEC,Sauber,16,,0,13.0,10,1.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,STR,Williams,18,,0,17.0,R,0.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,VAN,McLaren,2,,0,15.0,16,0.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,MAG,Haas F1 Team,20,,0,11.0,13,0.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,HUL,Renault,27,,0,7.0,7,6.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,HAR,Toro Rosso,28,,0,12.0,R,0.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,RIC,Red Bull Racing,3,,0,6.0,4,12.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,OCO,Force India,31,,0,8.0,9,2.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,VER,Red Bull Racing,33,,0,3.0,3,15.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,SIR,Williams,35,,0,18.0,17,0.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,HAM,Mercedes,44,,0,4.0,5,10.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,VET,Ferrari,5,,0,1.0,1,25.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,SAI,Renault,55,,0,9.0,8,4.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,RAI,Ferrari,7,,0,5.0,6,8.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,BOT,Mercedes,77,,0,2.0,2,18.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,GRO,Haas F1 Team,8,,0,20.0,12,0.0
2018,7,Montreal,Canadian Grand Prix,38.8,Dry,ERI,Sauber,9,,0,19.0,15,0.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,GAS,Toro Rosso,10,,0,14.0,R,0.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,PER,Force India,11,,0,13.0,R,0.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,ALO,McLaren,14,,0,16.0,16,0.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,LEC,Sauber,16,,0,8.0,10,1.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,STR,Williams,18,,0,20.0,17,0.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,VAN,McLaren,2,,0,18.0,12,0.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,MAG,Haas F1 Team,20,,0,9.0,6,8.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,HUL,Renault,27,,0,12.0,9,2.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,HAR,Toro Rosso,28,,0,17.0,14,0.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,RIC,Red Bull Racing,3,,0,5.0,4,12.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,OCO,Force India,31,,0,11.0,R,0.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,VER,Red Bull Racing,33,,0,4.0,2,18.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,SIR,Williams,35,,0,19.0,15,0.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,HAM,Mercedes,44,,0,1.0,1,25.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,VET,Ferrari,5,,0,3.0,5,10.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,SAI,Renault,55,,0,7.0,8,4.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,RAI,Ferrari,7,,0,6.0,3,15.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,BOT,Mercedes,77,,0,2.0,7,6.0
